EU282432	Siberian permafrost	Nostoc sp.	195-A22	 	Vishnivetskaya	"(in) Margesin,R. (Ed.); PERMAFROST SOILS: 73-84; Springer-Verlag Berlin Heidelberg (2009)"	 
DQ185244	Peltigera degenii	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185245	Peltigera didactyla	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185246	Peltigera lepidophora	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185247	Peltigera membranacea	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185248	Peltigera membranacea	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185249	Peltigera rufescens	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185250	Cycas circinalis 	Nostoc sp.	SAG 29.90	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185251	Stangeria paradoxa 	Nostoc sp.	SAG 36.92	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185252	Peltigera aphthosa	Nostoc sp.	SAG 39.87	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185253	Peltigera aphthosa	Nostoc sp.	SAG 41.87	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185254	free-living	Nostoc muscorum 	SAG 57.79	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185255	Blasia pusilla	Nostoc punctiforme 	SAG 65.79	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185256	Gunnera manicata 	Nostoc punctiforme 	SAG 68.79	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185257	Geosiphon pyriforme 	Nostoc punctiforme 	SAG 69.79	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185258	free-living	Nostoc punctiforme 	SAG 71.79	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185259	Sticta fuliginosa	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
AB098071	free-living	Nostoc commune	SO-42	 	Arima	FEMS Microbiol. Ecol. (2011) In press	22066798
AY790835	free-living	Scytonema sp.	CCMEE 5099	 	Norris	"FEMS Microbiol. Ecol. 57 (3), 470-483 (2006)"	16907760
DQ531698	free-living	Scytonema sp.	FGP-7A	 	Yeager	"FEMS Microbiol. Ecol. 60 (1), 85-97 (2007)"	17381526
AM230703	free-living	Gloeotrichia echinulata 	PYH6	 	Sihvonen	"FEMS Microbiol. Ecol. 61 (1), 74-84 (2007)"	17466025
AM230705	free-living	Gloeotrichia echinulata 	URA3	 	Sihvonen	"FEMS Microbiol. Ecol. 61 (1), 74-84 (2007)"	17466025
